Timestamp,GroundTruth,Prediction
2021-07-02,163,89
2021-07-03,45,200
2021-07-05,171,190
2021-07-06,176,195
2021-07-07,173,182
2021-07-08,166,179
2021-07-09,138,89
2021-07-10,66,200
2021-07-12,180,190
2021-07-13,186,195
2021-07-14,172,182
2021-07-15,149,179
2021-07-16,148,89
2021-07-17,53,200
2021-07-19,170,190
2021-07-20,183,195
2021-07-21,171,182
2021-07-22,181,179
2021-07-23,170,89
2021-07-24,73,200
2021-07-26,179,190
2021-07-27,165,195
2021-07-28,168,182
2021-07-29,153,179
2021-07-30,160,89
2021-07-31,53,200
2021-08-02,178,190
2021-08-03,170,195
2021-08-04,161,182
2021-08-05,164,179
2021-08-06,169,89
2021-08-07,56,200
2021-08-09,165,190
2021-08-10,148,195
2021-08-11,173,182
2021-08-12,152,179
2021-08-13,162,89
2021-08-14,63,200
2021-08-16,170,190
2021-08-17,165,195
2021-08-18,160,182
2021-08-19,155,179
2021-08-21,62,89
2021-08-23,132,200
2021-08-24,155,190
2021-08-25,149,195
2021-08-26,147,182
2021-08-27,138,179
2021-08-28,59,89
2021-08-30,162,200
2021-08-31,152,190
2021-09-01,177,195
2021-09-02,165,182
2021-09-03,178,179
2021-09-04,59,89
2021-09-06,185,200
2021-09-07,183,190
2021-09-08,167,195
2021-09-09,162,182
2021-09-10,181,179
2021-09-11,55,89
2021-09-13,175,200
2021-09-14,153,190
2021-09-15,154,195
2021-09-16,143,182
2021-09-17,159,179
2021-09-18,48,89
2021-09-20,150,200
2021-09-21,161,190
2021-09-22,158,195
2021-09-23,160,182
2021-09-24,158,179
2021-09-25,49,89
2021-09-27,174,200
2021-09-28,155,190
2021-09-29,159,195
2021-09-30,136,182
2021-10-01,126,179
2021-10-02,47,89
2021-10-04,156,200
2021-10-05,154,190
2021-10-06,147,195
2021-10-07,152,182
2021-10-08,145,179
2021-10-09,55,89
2021-10-11,164,200
2021-10-12,149,190
2021-10-13,182,195
2021-10-14,136,182
2021-10-15,133,179
2021-10-16,48,89
2021-10-18,150,200
2021-10-19,149,190
2021-10-20,150,195
2021-10-21,138,182
2021-10-22,154,179
2021-10-23,49,89
2021-10-25,154,200
2021-10-26,157,190
2021-10-27,142,195
2021-10-28,156,182
2021-10-29,145,179
2021-10-30,44,89
2021-11-01,161,200
2021-11-02,142,190
2021-11-03,129,195
2021-11-04,148,182
2021-11-05,137,179
2021-11-06,57,89
2021-11-08,125,200
2021-11-09,124,190
2021-11-10,146,195
2021-11-11,139,182
2021-11-12,146,179
2021-11-13,42,89
2021-11-15,146,200
2021-11-16,137,190
2021-11-17,145,195
2021-11-18,142,182
2021-11-19,124,179
2021-11-20,52,89
2021-11-22,126,200
2021-11-23,133,190
2021-11-24,141,195
2021-11-25,118,182
2021-11-26,117,179
2021-11-27,36,89
2021-11-29,146,200
2021-11-30,135,190
2021-12-01,149,195
2021-12-02,116,182
2021-12-03,79,179
2021-12-08,132,89
2021-12-09,125,200
2021-12-10,119,190
2021-12-11,44,195
2021-12-13,137,182
2021-12-14,136,179
2021-12-15,136,89
2021-12-16,135,200
2021-12-17,109,190
2021-12-18,55,195
2021-12-20,138,182
2021-12-21,141,179
2021-12-22,139,89
2021-12-23,77,200
2021-12-27,137,190
2021-12-28,123,195
2021-12-29,122,182
2021-12-30,120,179
2021-12-31,68,89
